,City,Country Code,Filename,Lat,Long
0,Lingshan,CHN,CHN_Guangxi.Zhuang.Lingshan.594460_CSWD.epw,22.42,109.30
0,Longzhou,CHN,CHN_Guangxi.Zhuang.Longzhou.594170_CSWD.epw,22.33,106.85
0,Nanning,CHN,CHN_Guangxi.Zhuang.Nanning.594310_CSWD.epw,22.63,108.22
0,Qinzhou,CHN,CHN_Guangxi.Zhuang.Qinzhou.596320_CSWD.epw,21.95,108.62
0,Wuzhou,CHN,CHN_Guangxi.Zhuang.Wuzhou.592650_CSWD.epw,23.48,111.30
0,Bijie,CHN,CHN_Guizhou.Bijie.577070_CSWD.epw,27.30,105.28
0,Guiyang,CHN,CHN_Guizhou.Guiyang.578160_CSWD.epw,26.58,106.73
0,GUIYANG,CHN,CHN_Guizhou.Guiyang.578160_SWERA.epw,26.58,106.72
0,Sansui,CHN,CHN_Guizhou.Sansui.578320_CSWD.epw,26.97,108.67
0,Tongzi,CHN,CHN_Guizhou.Tongzi.576060_CSWD.epw,28.13,106.83
0,Weining,CHN,CHN_Guizhou.Weining.566910_CSWD.epw,26.87,104.28
0,Xingyi,CHN,CHN_Guizhou.Xingyi.579020_CSWD.epw,25.43,105.18
0,Zunyi,CHN,CHN_Guizhou.Zunyi.577130_CSWD.epw,27.70,106.88
0,Dongfang,CHN,CHN_Hainan.Dongfang.598380_CSWD.epw,19.10,108.62
0,Haikou,CHN,CHN_Hainan.Haikou.597580_CSWD.epw,20.03,110.35
0,Qionghai,CHN,CHN_Hainan.Qionghai.598550_CSWD.epw,19.23,110.47
0,Chengde,CHN,CHN_Hebei.Chengde.544230_CSWD.epw,40.98,117.95
0,Fengning,CHN,CHN_Hebei.Fengning.543080_CSWD.epw,41.22,116.63
0,Huailai,CHN,CHN_Hebei.Huailai.544050_CSWD.epw,40.40,115.50
0,Leting,CHN,CHN_Hebei.Leting.545390_CSWD.epw,39.43,118.88
0,Raoyang,CHN,CHN_Hebei.Raoyang.546060_CSWD.epw,38.23,115.73
0,Shijiazhuang,CHN,CHN_Hebei.Shijiazhuang.536980_CSWD.epw,38.03,114.42
0,Xingtai,CHN,CHN_Hebei.Xingtai.537980_CSWD.epw,37.07,114.50
0,Zhangbei,CHN,CHN_Hebei.Zhangbei.533990_CSWD.epw,41.15,114.70
0,Anda,CHN,CHN_Heilongjiang.Anda.508540_CSWD.epw,46.38,125.32
0,Fujin,CHN,CHN_Heilongjiang.Fujin.507880_CSWD.epw,47.23,131.98
0,Fuyu,CHN,CHN_Heilongjiang.Fuyu.507420_CSWD.epw,47.78,124.48
0,Hailun,CHN,CHN_Heilongjiang.Hailun.507560_CSWD.epw,47.43,126.97
0,Harbin,CHN,CHN_Heilongjiang.Harbin.509530_CSWD.epw,45.75,126.77
0,HARBIN,CHN,CHN_Heilongjiang.Harbin.509530_IWEC.epw,45.72,126.68
0,HARBIN,CHN,CHN_Heilongjiang.Harbin.509530_SWERA.epw,45.75,126.77
0,Huma,CHN,CHN_Heilongjiang.Huma.503530_CSWD.epw,51.72,126.65
0,Jiamusi,CHN,CHN_Heilongjiang.Jiamusi.508730_CSWD.epw,46.82,130.28
0,Jixi,CHN,CHN_Heilongjiang.Jixi.509780_CSWD.epw,45.28,130.95
0,Keshan,CHN,CHN_Heilongjiang.Keshan.506580_CSWD.epw,48.05,125.88
0,Mohe,CHN,CHN_Heilongjiang.Mohe.501360_CSWD.epw,52.97,122.52
0,Mudanjiang,CHN,CHN_Heilongjiang.Mudanjiang.540940_CSWD.epw,44.57,129.60
0,Nenjiang,CHN,CHN_Heilongjiang.Nenjiang.505570_CSWD.epw,49.17,125.23
0,Qiqihar,CHN,CHN_Heilongjiang.Qiqihar.507450_CSWD.epw,47.38,123.92
0,Shangzhi,CHN,CHN_Heilongjiang.Shangzhi.509680_CSWD.epw,45.22,127.97
0,Suifenhe,CHN,CHN_Heilongjiang.Suifenhe.540960_CSWD.epw,44.38,131.17
0,Sunwu,CHN,CHN_Heilongjiang.Sunwu.505640_CSWD.epw,49.43,127.35
0,Tonghe,CHN,CHN_Heilongjiang.Tonghe.509630_CSWD.epw,45.97,128.73
0,Zhaozhou,CHN,CHN_Heilongjiang.Zhaozhou.509500_CSWD.epw,45.70,125.25
0,Anyang,CHN,CHN_Henan.Anyang.538980_CSWD.epw,36.05,114.40
0,Lushi,CHN,CHN_Henan.Lushi.570670_CSWD.epw,34.05,111.03
0,Nanyang,CHN,CHN_Henan.Nanyang.571780_CSWD.epw,33.03,112.58
0,Shangqiu,CHN,CHN_Henan.Shangqiu.580050_CSWD.epw,34.45,115.67
0,Xinyang,CHN,CHN_Henan.Xinyang.572970_CSWD.epw,32.13,114.05
0,Zhengzhou,CHN,CHN_Henan.Zhengzhou.570830_CSWD.epw,34.72,113.65
0,Zhumadian,CHN,CHN_Henan.Zhumadian.572900_CSWD.epw,33.00,114.02
0,HONG KONG,CHN,CHN_Hong.Kong.SAR.450070_CityUHK.epw,22.32,114.17
0,Exi,CHN,CHN_Hubei.Exi.574470_CSWD.epw,30.28,109.47
0,Laohekou,CHN,CHN_Hubei.Laohekou.572650_CSWD.epw,32.38,111.67
0,Macheng,CHN,CHN_Hubei.Macheng.573990_CSWD.epw,31.18,115.02
0,Wuhan,CHN,CHN_Hubei.Wuhan.574940_CSWD.epw,30.62,114.13
0,WUHAN/NANHU,CHN,CHN_Hubei.Wuhan.574940_SWERA.epw,30.62,114.13
0,Yichang,CHN,CHN_Hubei.Yichang.574610_CSWD.epw,30.70,111.30
0,Yunxi,CHN,CHN_Hubei.Yunxi.572510_CSWD.epw,33.00,110.42
0,Zhongxiang,CHN,CHN_Hubei.Zhongxiang.573780_CSWD.epw,31.17,112.57
0,Changde,CHN,CHN_Hunan.Changde.576620_CSWD.epw,29.05,111.68
0,Changning,CHN,CHN_Hunan.Changning.578740_CSWD.epw,26.42,112.40
0,Changsha,CHN,CHN_Hunan.Changsha.576870_CSWD.epw,28.22,112.92
0,CHANGSHA,CHN,CHN_Hunan.Changsha.576870_SWERA.epw,28.23,112.87
